GEOID,NAME,est2019,est2021,shift,mn
0670098,"Santa Rosa city, California",23.6,24.2,0.6,23.9
2537000,"Lowell city, Massachusetts",27.3,27.9,0.6,27.6
2621000,"Dearborn city, Michigan",19.9,20.5,0.6,20.2
4944320,"Lehi city, Utah",23.5,24.1,0.6,23.8
5353545,"Pasco city, Washington",21.8,22.4,0.6,22.1
0613210,"Chino city, California",35.4,35.9,0.5,35.6
0621712,"El Cajon city, California",24.3,24.8,0.5,24.6
0832155,"Greeley city, Colorado",23.3,23.8,0.5,23.6
4131250,"Gresham city, Oregon",28.5,29,0.5,28.8
4848072,"Midland city, Texas",19.6,20.1,0.5,19.9
4965330,"St. George city, Utah",16.6,17.1,0.5,16.9
0650258,"Napa city, California",24.1,24.5,0.4,24.3
0862000,"Pueblo city, Colorado",18.7,19.1,0.4,18.9
1304204,"Augusta-Richmond County consolidated government (balance), Georgia",20.7,21.1,0.4,20.9
1871000,"South Bend city, Indiana",20.5,20.9,0.4,20.7
3774440,"Wilmington city, North Carolina",19.1,19.5,0.4,19.3
3901000,"Akron city, Ohio",21.4,21.8,0.4,21.6
4075000,"Tulsa city, Oklahoma",18.6,19,0.4,18.8
4801000,"Abilene city, Texas",14.4,14.8,0.4,14.6
4810912,"Bryan city, Texas",17.2,17.6,0.4,17.4
5164000,"Portsmouth city, Virginia",21.7,22.1,0.4,21.9
0135896,"Hoover city, Alabama",23.9,24.2,0.3,24
0665000,"San Bernardino city, California",27,27.3,0.3,27.1
1270600,"Tallahassee city, Florida",18,18.3,0.3,18.1
1772000,"Springfield city, Illinois",17.5,17.8,0.3,17.6
2964550,"St. Joseph city, Missouri",15.6,15.9,0.3,15.8
3539380,"Las Cruces city, New Mexico",17.6,17.9,0.3,17.8
3728080,"Greenville city, North Carolina",18,18.3,0.3,18.1
4055000,"Oklahoma City city, Oklahoma",21.8,22.1,0.3,22
4513330,"Charleston city, South Carolina",24.2,24.5,0.3,24.4
4824000,"El Paso city, Texas",23.5,23.8,0.3,23.6
0203000,"Anchorage municipality, Alaska",18.9,19.1,0.2,19
0629000,"Garden Grove city, California",29,29.2,0.2,29.1
0642202,"Lodi city, California",24.3,24.5,0.2,24.4
0908000,"Bridgeport city, Connecticut",29.1,29.3,0.2,29.2
1770122,"Skokie village, Illinois",27.3,27.5,0.2,27.4
1822000,"Evansville city, Indiana",17.7,17.9,0.2,17.8
2270000,"Shreveport city, Louisiana",19.8,20,0.2,19.9
3601000,"Albany city, New York",19,19.2,0.2,19.1
3611000,"Buffalo city, New York",20.4,20.6,0.2,20.5
4224000,"Erie city, Pennsylvania",18,18.2,0.2,18.1
4970850,"South Jordan city, Utah",24.4,24.6,0.2,24.5
0611530,"Carson city, California",27.1,27.2,0.1,27.1
0675000,"Stockton city, California",32.4,32.5,0.1,32.5
0680644,"Tulare city, California",22.7,22.8,0.1,22.8
1214400,"Coral Springs city, Florida",28.8,28.9,0.1,28.9
1303440,"Athens-Clarke County unified government (balance), Georgia",20,20.1,0.1,20
1840788,"Lafayette city, Indiana",15.4,15.5,0.1,15.4
2622000,"Detroit city, Michigan",25.4,25.5,0.1,25.4
3734200,"Jacksonville city, North Carolina",14.8,14.9,0.1,14.9
4550875,"North Charleston city, South Carolina",23.7,23.8,0.1,23.8
2064500,"Shawnee city, Kansas",21.7,21.7,0,21.7
3128000,"Lincoln city, Nebraska",18.4,18.4,0,18.4
3944856,"Lorain city, Ohio",24.2,24.2,0,24.2
4548535,"Mount Pleasant town, South Carolina",25,25,0,25
4715160,"Clarksville city, Tennessee",25.6,25.6,0,25.6
4837000,"Irving city, Texas",24,24,0,24
0471510,"Surprise city, Arizona",30.6,30.5,-0.1,30.6
0523290,"Fayetteville city, Arkansas",18.1,18,-0.1,18
0669070,"Santa Barbara city, California",16.6,16.5,-0.1,16.6
0681554,"Vacaville city, California",29.3,29.2,-0.1,29.2
1245060,"Miami Gardens city, Florida",32.2,32.1,-0.1,32.2
1349008,"Macon-Bibb County, Georgia",21.8,21.7,-0.1,21.8
2567000,"Springfield city, Massachusetts",22.5,22.4,-0.1,22.4
3702140,"Asheville city, North Carolina",17.9,17.8,-0.1,17.9
4829000,"Garland city, Texas",30.3,30.2,-0.1,30.2
0660466,"Rialto city, California",33,32.8,-0.2,32.9
1212875,"Clearwater city, Florida",23.8,23.6,-0.2,23.7
1258050,"Pompano Beach city, Florida",27.7,27.5,-0.2,27.6
1319000,"Columbus city, Georgia",19.6,19.4,-0.2,19.5
2146027,"Lexington-Fayette urban county, Kentucky",21,20.8,-0.2,20.9
2964082,"St. Charles city, Missouri",21.8,21.6,-0.2,21.7
3722920,"Fayetteville city, North Carolina",19.2,19,-0.2,19.1
0603526,"Bakersfield city, California",24.4,24.1,-0.3,24.2
0636770,"Irvine city, California",24,23.7,-0.3,23.9
0937000,"Hartford city, Connecticut",21.3,21,-0.3,21.1
1239425,"Largo city, Florida",23,22.7,-0.3,22.9
2079000,"Wichita city, Kansas",19,18.7,-0.3,18.9
4845744,"McKinney city, Texas",28.3,28,-0.3,28.1
4848768,"Mission city, Texas",19,18.7,-0.3,18.9
0477000,"Tucson city, Arizona",22.7,22.3,-0.4,22.5
0602553,"Arden-Arcade CDP, California",25.3,24.9,-0.4,25.1
0613214,"Chino Hills city, California",36.3,35.9,-0.4,36.1
0627000,"Fresno city, California",22.8,22.4,-0.4,22.6
0650076,"Murrieta city, California",35.7,35.3,-0.4,35.5
